2025-04-28 03:23:01,884 INFO    MainThread:3467378 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_setup.py:_flush():68] Configure stats pid to 3467378
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_setup.py:_flush():68] Loading settings from /data/gzm/.config/wandb/settings
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_setup.py:_flush():68] Loading settings from /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/settings
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/run-20250428_032301-sdphypk6/logs/debug.log
2025-04-28 03:23:01,885 INFO    MainThread:3467378 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/run-20250428_032301-sdphypk6/logs/debug-internal.log
2025-04-28 03:23:01,931 INFO    MainThread:3467378 [wandb_init.py:init():852] calling init triggers
2025-04-28 03:23:01,931 INFO    MainThread:3467378 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'env_id': 'Overcooked-LLMA-v4', 'hid': 64, 'l': 2, 'gamma': 0.99, 'seed': 0, 'steps': 4000, 'epochs': 50, 'exp_name': 'ppo', 'env_reward': [0.1, 1, 0, 0.001], 'ent_coef': 0.01, 'norm_adv': False, 'track': True, 'wandb_project_name': 'twosome_ppo', '_wandb': {'code_path': 'code/twosome_rl/overcook/ppo_rl.py'}}
2025-04-28 03:23:01,931 INFO    MainThread:3467378 [wandb_init.py:init():893] starting backend
2025-04-28 03:23:01,931 INFO    MainThread:3467378 [wandb_init.py:init():897] sending inform_init request
2025-04-28 03:23:01,950 INFO    MainThread:3467378 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-28 03:23:01,950 INFO    MainThread:3467378 [wandb_init.py:init():907] backend started and connected
2025-04-28 03:23:01,955 INFO    MainThread:3467378 [wandb_init.py:init():1002] updated telemetry
2025-04-28 03:23:01,977 INFO    MainThread:3467378 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-28 03:23:02,706 INFO    MainThread:3467378 [wandb_init.py:init():1101] starting run threads in backend
2025-04-28 03:23:02,862 INFO    MainThread:3467378 [wandb_run.py:_console_start():2566] atexit reg
2025-04-28 03:23:02,862 INFO    MainThread:3467378 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-28 03:23:02,862 INFO    MainThread:3467378 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-28 03:23:02,862 INFO    MainThread:3467378 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-28 03:23:02,864 INFO    MainThread:3467378 [wandb_init.py:init():1147] run started, returning control to user process
