2025-04-28 03:38:10,636 INFO    MainThread:3611889 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_setup.py:_flush():68] Configure stats pid to 3611889
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_setup.py:_flush():68] Loading settings from /data/gzm/.config/wandb/settings
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_setup.py:_flush():68] Loading settings from /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/settings
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/run-20250428_033810-6cic24i1/logs/debug.log
2025-04-28 03:38:10,637 INFO    MainThread:3611889 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /data/gzm/TWOSOME-main/twosome_rl/overcook/wandb/run-20250428_033810-6cic24i1/logs/debug-internal.log
2025-04-28 03:38:10,682 INFO    MainThread:3611889 [wandb_init.py:init():852] calling init triggers
2025-04-28 03:38:10,682 INFO    MainThread:3611889 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'env_id': 'Overcooked-LLMA-v4', 'hid': 64, 'l': 2, 'gamma': 0.99, 'seed': 0, 'steps': 4000, 'epochs': 50, 'exp_name': 'ppo', 'env_reward': [0.1, 1, 0, 0.001], 'ent_coef': 0.01, 'norm_adv': False, 'track': True, 'wandb_project_name': 'twosome_ppo', '_wandb': {'code_path': 'code/twosome_rl/overcook/ppo_rl.py'}}
2025-04-28 03:38:10,682 INFO    MainThread:3611889 [wandb_init.py:init():893] starting backend
2025-04-28 03:38:10,682 INFO    MainThread:3611889 [wandb_init.py:init():897] sending inform_init request
2025-04-28 03:38:10,702 INFO    MainThread:3611889 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-28 03:38:10,702 INFO    MainThread:3611889 [wandb_init.py:init():907] backend started and connected
2025-04-28 03:38:10,709 INFO    MainThread:3611889 [wandb_init.py:init():1002] updated telemetry
2025-04-28 03:38:10,729 INFO    MainThread:3611889 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-04-28 03:38:11,651 INFO    MainThread:3611889 [wandb_init.py:init():1101] starting run threads in backend
2025-04-28 03:38:11,809 INFO    MainThread:3611889 [wandb_run.py:_console_start():2566] atexit reg
2025-04-28 03:38:11,809 INFO    MainThread:3611889 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-04-28 03:38:11,809 INFO    MainThread:3611889 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-04-28 03:38:11,809 INFO    MainThread:3611889 [wandb_run.py:_redirect():2506] Redirects installed.
2025-04-28 03:38:11,812 INFO    MainThread:3611889 [wandb_init.py:init():1147] run started, returning control to user process
2025-04-28 03:38:15,339 INFO    MsgRouterThr:3611889 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
