pygame 2.4.0 (SDL 2.26.4, Python 3.9.21)
Hello from the pygame community. https://www.pygame.org/contribute.html
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:25: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.act_buf[self.ptr] = act
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:26: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.rew_buf[self.ptr] = rew
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:27: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.val_buf[self.ptr] = val
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:28: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.logp_buf[self.ptr] = logp
episodic_return=0.6454107653519211, episodic_length=64
episodic_return=0.0784977125780556, episodic_length=201
episodic_return=0.2642019647901331, episodic_length=132
episodic_return=0.26717755410216987, episodic_length=131
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=-0.007533090782766037, episodic_length=202
episodic_return=0.6652743651323126, episodic_length=57
episodic_return=-0.05659401943585314, episodic_length=204
episodic_return=0.18901445955689272, episodic_length=164
episodic_return=0.6332017156613876, episodic_length=62
episodic_return=-0.08751221877410477, episodic_length=207
episodic_return=0.1129866624079588, episodic_length=185
episodic_return=-0.05753594374075035, episodic_length=202
episodic_return=-0.053175245511227, episodic_length=200
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=-0.056973034204687856, episodic_length=200
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.21951585754368738, episodic_length=146
episodic_return=0.13737705783934606, episodic_length=177
episodic_return=0.40697554144738657, episodic_length=127
episodic_return=0.11491952460966876, episodic_length=183
episodic_return=0.6100869479873894, episodic_length=65
episodic_return=0.06869561981265815, episodic_length=202
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=0.2938111703090291, episodic_length=125
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=0.22083529182503925, episodic_length=145
episodic_return=0.6240557226477184, episodic_length=68
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=0.01642539097055692, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.29455074787148444, episodic_length=132
episodic_return=0.3337368255681924, episodic_length=115
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=0.17097665794075811, episodic_length=162
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=0.4423495828436563, episodic_length=92
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.08699996554649939, episodic_length=203
episodic_return=0.37047119456474603, episodic_length=115
episodic_return=-0.025542710750041817, episodic_length=202
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=0.005539058447594975, episodic_length=208
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.038118703305287716, episodic_length=200
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.042754578640909285, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=0.2339667741827741, episodic_length=142
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.2701797141442892, episodic_length=133
episodic_return=0.09400776293458984, episodic_length=202
episodic_return=-0.01905115233442333, episodic_length=200
episodic_return=0.48526975805466316, episodic_length=87
episodic_return=0.1374366417865745, episodic_length=174
episodic_return=0.1239630818748893, episodic_length=180
episodic_return=0.1673711451699907, episodic_length=162
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.39975306383902764, episodic_length=104
episodic_return=0.2030223894069641, episodic_length=154
episodic_return=0.7714638754582226, episodic_length=45
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=0.19600858682448533, episodic_length=157
episodic_return=0.09456515750745512, episodic_length=197
episodic_return=-0.08712996589103439, episodic_length=204
episodic_return=0.24721579774653796, episodic_length=136
episodic_return=0.4985049953037333, episodic_length=96
episodic_return=0.07186594808712903, episodic_length=208
episodic_return=0.08310548138535173, episodic_length=202
episodic_return=0.1606161148023014, episodic_length=177
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.35416132322286725, episodic_length=118
episodic_return=0.10573741218185644, episodic_length=190
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.0041919836577485265, episodic_length=204
episodic_return=0.794240203578635, episodic_length=44
episodic_return=0.6016747600663672, episodic_length=66
episodic_return=0.07823375922061793, episodic_length=203
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.1580043514600711, episodic_length=165
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=-0.08686865206717109, episodic_length=202
episodic_return=0.11828011449359419, episodic_length=182
episodic_return=-0.08725866623212404, episodic_length=205
episodic_return=0.48526975805466316, episodic_length=87
episodic_return=0.43392696385864676, episodic_length=93
episodic_return=0.28654237967819435, episodic_length=130
episodic_return=0.09415234243322029, episodic_length=197
episodic_return=0.08316158832794071, episodic_length=204
episodic_return=-0.0602970955950441, episodic_length=208
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=0.23291702098302208, episodic_length=140
episodic_return=0.895634159850448, episodic_length=31
episodic_return=-0.0873860795698028, episodic_length=206
episodic_return=0.09507590528289796, episodic_length=193
episodic_return=0.38384808700403433, episodic_length=107
episodic_return=0.15522246875577442, episodic_length=167
episodic_return=-0.08673601218906171, episodic_length=201
episodic_return=-0.08660203251420374, episodic_length=200
episodic_return=-0.08725866623212404, episodic_length=205
