pygame 2.4.0 (SDL 2.26.4, Python 3.9.21)
Hello from the pygame community. https://www.pygame.org/contribute.html
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:25: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.act_buf[self.ptr] = act
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:26: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.rew_buf[self.ptr] = rew
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:27: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.val_buf[self.ptr] = val
/data/gzm/TWOSOME-main/twosome_rl/overcook/ppo_rl.py:28: DeprecationWarning: Conversion of an array with ndim > 0 to a scalar is deprecated, and will error in future. Ensure you extract a single element from your array before performing this operation. (Deprecated NumPy 1.25.)
  self.logp_buf[self.ptr] = logp
episodic_return=0.6454107653519211, episodic_length=64
Episode reward: [1.11340904], Episode length: 21
episodic_return=0.0784977125780556, episodic_length=201
Episode reward: [-0.00165046], Episode length: 85
episodic_return=0.2642019647901331, episodic_length=132
Episode reward: [1.0087799], Episode length: 36
episodic_return=0.26717755410216987, episodic_length=131
Episode reward: [1.04791711], Episode length: 46
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19499323], Episode length: 54
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19550471], Episode length: 67
episodic_return=-0.08725866623212404, episodic_length=205
Episode reward: [-0.20100021], Episode length: 71
episodic_return=-0.007533090782766037, episodic_length=202
Episode reward: [-0.00168577], Episode length: 68
episodic_return=0.6652743651323126, episodic_length=57
Episode reward: [1.08195106], Episode length: 16
episodic_return=-0.05659401943585314, episodic_length=204
Episode reward: [-0.00339285], Episode length: 62
episodic_return=0.18901445955689272, episodic_length=164
Episode reward: [1.01510055], Episode length: 69
episodic_return=0.6332017156613876, episodic_length=62
Episode reward: [1.11564234], Episode length: 17
episodic_return=-0.08751221877410477, episodic_length=207
Episode reward: [-0.2034995], Episode length: 80
episodic_return=0.1129866624079588, episodic_length=185
Episode reward: [0.99543196], Episode length: 56
episodic_return=-0.05753594374075035, episodic_length=202
Episode reward: [-0.00070042], Episode length: 53
episodic_return=-0.053175245511227, episodic_length=200
Episode reward: [0.0008544], Episode length: 60
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.1984973], Episode length: 63
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.19924976], Episode length: 80
episodic_return=-0.056973034204687856, episodic_length=200
Episode reward: [0.00077849], Episode length: 65
episodic_return=-0.08673601218906171, episodic_length=201
Episode reward: [-0.19633972], Episode length: 66
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19521666], Episode length: 60
episodic_return=0.21951585754368738, episodic_length=146
Episode reward: [1.0335962], Episode length: 43
episodic_return=0.13737705783934606, episodic_length=177
Episode reward: [1.00280762], Episode length: 61
episodic_return=0.40697554144738657, episodic_length=127
Episode reward: [1.24790584], Episode length: 46
episodic_return=0.11491952460966876, episodic_length=183
Episode reward: [0.95856483], Episode length: 61
episodic_return=0.6100869479873894, episodic_length=65
Episode reward: [1.07413131], Episode length: 15
episodic_return=0.06869561981265815, episodic_length=202
Episode reward: [-0.00228512], Episode length: 72
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.19905037], Episode length: 70
episodic_return=-0.08686865206717109, episodic_length=202
Episode reward: [-0.19781676], Episode length: 64
episodic_return=0.2938111703090291, episodic_length=125
Episode reward: [1.05403278], Episode length: 41
episodic_return=-0.08673601218906171, episodic_length=201
Episode reward: [-0.19582301], Episode length: 56
episodic_return=0.22083529182503925, episodic_length=145
Episode reward: [1.0342042], Episode length: 52
episodic_return=0.6240557226477184, episodic_length=68
Episode reward: [1.10935507], Episode length: 31
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19593722], Episode length: 69
episodic_return=-0.08712996589103439, episodic_length=204
Episode reward: [-0.20075046], Episode length: 94
episodic_return=0.01642539097055692, episodic_length=200
Episode reward: [0.00027], Episode length: 61
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19598479], Episode length: 69
episodic_return=0.29455074787148444, episodic_length=132
Episode reward: [1.04676269], Episode length: 50
episodic_return=0.3337368255681924, episodic_length=115
Episode reward: [1.06352694], Episode length: 40
episodic_return=-0.08686865206717109, episodic_length=202
Episode reward: [-0.19698906], Episode length: 52
episodic_return=-0.08686865206717109, episodic_length=202
Episode reward: [-0.19832584], Episode length: 79
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.19897402], Episode length: 73
episodic_return=0.17097665794075811, episodic_length=162
Episode reward: [1.01758572], Episode length: 57
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.19799002], Episode length: 56
episodic_return=0.4423495828436563, episodic_length=92
Episode reward: [1.08626651], Episode length: 31
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19608145], Episode length: 71
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19546432], Episode length: 63
episodic_return=-0.08673601218906171, episodic_length=201
Episode reward: [-0.19724895], Episode length: 76
episodic_return=-0.08699996554649939, episodic_length=203
Episode reward: [-0.19880986], Episode length: 58
episodic_return=0.37047119456474603, episodic_length=115
Episode reward: [1.06356604], Episode length: 41
episodic_return=-0.025542710750041817, episodic_length=202
Episode reward: [0.19471411], Episode length: 54
episodic_return=-0.08686865206717109, episodic_length=202
Episode reward: [-0.19811076], Episode length: 73
episodic_return=0.005539058447594975, episodic_length=208
Episode reward: [-0.00706366], Episode length: 64
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19534727], Episode length: 56
episodic_return=-0.038118703305287716, episodic_length=200
Episode reward: [0.00055967], Episode length: 61
episodic_return=-0.08673601218906171, episodic_length=201
Episode reward: [-0.19689199], Episode length: 64
episodic_return=-0.042754578640909285, episodic_length=200
Episode reward: [0.00040915], Episode length: 60
episodic_return=-0.08660203251420374, episodic_length=200
Episode reward: [-0.19511114], Episode length: 56
episodic_return=-0.08673601218906171, episodic_length=201
Episode reward: [-0.19633319], Episode length: 60
episodic_return=0.2339667741827741, episodic_length=142
Episode reward: [1.03751205], Episode length: 39
episodic_return=-0.08660203251420374, episodic_length=200
